Addr,Score,Review
"
서울 동작구 만양로2길 2
(지번) 상도동 17-61
",3.2,76
"
서울 동작구 상도로50길 2-15
(지번) 상도1동 244-1
",3.0,66
"
서울 동작구 상도로31길 19 브라운스톤상가 B207호
(지번) 상도동 527
",3.1,36
"
서울 동작구 상도로34길 32 동화하우스 1층
(지번) 상도동 156-20
",4.8,27
"
서울 동작구 양녕로 286-1
(지번) 상도1동 642-1
",3.7,12
"
서울 동작구 상도로 230 4층
(지번) 상도동 29-87
",3.1,39
"
서울 동작구 장승배기로 118-1
(지번) 노량진동 309-18
",4.1,256
"
서울 동작구 상도로 357 1층
(지번) 상도동 488
",3.4,50
"
서울 동작구 양녕로 282-1 1층
(지번) 상도1동 638-2
",3.4,20
"
서울 동작구 상도로 321
(지번) 상도동 463
",3.8,13
"
서울 동작구 만양로14길 9
(지번) 노량진동 119-150
",4.0,92
"
서울 동작구 만양로16길 4 1층
(지번) 노량진동 119-159
",3.4,59
"
서울 동작구 상도로31길 83 1층
(지번) 상도동 22-86
",4.2,7
"
서울 동작구 상도로 313 1층
(지번) 상도1동 262
",4.0,7
"
서울 동작구 상도로 293
(지번) 상도1동 793-1
",4.6,5
"
서울 동작구 만양로2길 2
(지번) 상도동 17-61
",3.2,76
"
서울 동작구 상도로50길 2-15
(지번) 상도1동 244-1
",3.0,66
"
서울 동작구 상도로31길 19 브라운스톤상가 B207호
(지번) 상도동 527
",3.1,36
"
서울 동작구 상도로34길 32 동화하우스 1층
(지번) 상도동 156-20
",4.8,27
"
서울 동작구 양녕로 286-1
(지번) 상도1동 642-1
",3.7,12
"
서울 동작구 상도로 230 4층
(지번) 상도동 29-87
",3.1,39
"
서울 동작구 장승배기로 118-1
(지번) 노량진동 309-18
",4.1,256
"
서울 동작구 상도로 357 1층
(지번) 상도동 488
",3.4,50
"
서울 동작구 양녕로 282-1 1층
(지번) 상도1동 638-2
",3.4,20
"
서울 동작구 상도로 321
(지번) 상도동 463
",3.8,13
"
서울 동작구 만양로14길 9
(지번) 노량진동 119-150
",4.0,92
"
서울 동작구 만양로16길 4 1층
(지번) 노량진동 119-159
",3.4,59
"
서울 동작구 상도로31길 83 1층
(지번) 상도동 22-86
",4.2,7
"
서울 동작구 상도로 313 1층
(지번) 상도1동 262
",4.0,7
"
서울 동작구 상도로 293
(지번) 상도1동 793-1
",4.6,5
"
서울 동작구 상도로37길 74 지하1층
(지번) 상도동 477-17
",4.6,19
"
서울 동작구 상도로15길 134
(지번) 상도동 365-1
",4.4,61
"
서울 동작구 상도로47길 30
(지번) 상도1동 312
",4.6,19
"
서울 동작구 상도로41길 6
(지번) 상도1동 400-2
",4.3,15
"
서울 동작구 상도로 258-1
(지번) 상도동 33-14
",1.0,1
"
서울 동작구 상도로41길 12 1층
(지번) 상도1동 401-2
",4.5,41
"
서울 동작구 상도로 265-12
(지번) 상도1동 684
",3.6,2
"
서울 동작구 상도로61길 4
(지번) 상도동 500-1
",4.5,55
"
서울 동작구 매봉로 13 B102호
(지번) 상도1동 522
",0.0,17
"
서울 동작구 상도로56길 2
(지번) 상도동 474-15
",3.6,2
"
서울 동작구 흑석로 4 1층
(지번) 상도1동 645-3
",4.5,5
"
서울 동작구 양녕로 268-1
(지번) 상도1동 665-2
",3.8,24
"
서울 동작구 흑석로 19 1층
(지번) 상도1동 493
",4.0,7
"
서울 동작구 노량진로14가길 15 1, 2층
(지번) 노량진동 72-68
",3.4,3
"
서울 동작구 만양로14길 5
(지번) 노량진동 119-161
",4.5,22
"
서울 동작구 만양로 89-1
(지번) 노량진동 119-74
",3.4,49
"
서울 동작구 상도로 242 1층
(지번) 상도동 32-40
",3.7,29
"
서울 동작구 양녕로 247-1 지상1층
(지번) 상도1동 721-1
",4.3,8
"
서울 동작구 만양로 10
(지번) 상도동 20-12
",4.7,1
"
서울 동작구 상도로 339-1 1층
(지번) 상도동 477-8
",5.0,21
"
서울 동작구 상도로34길 8-3
(지번) 상도동 29-13
",3.7,7
"
서울 동작구 만양로 85-1 1층
(지번) 노량진동 120
",3.9,76
"
서울 동작구 상도로58길 2
(지번) 상도동 490-5
",4.2,33
"
서울 동작구 노량진로16길 30
(지번) 노량진동 119-15
",2.2,43
"
서울 동작구 상도로 304 1층
(지번) 상도동 159-25
",4.5,0
"
서울 동작구 만양로 11
(지번) 상도동 22-1
",2.8,5
"
서울 동작구 상도로 357 2층
(지번) 상도동 488
",3.5,11
"
서울 동작구 상도로26길 19
(지번) 상도동 367-6
",3.6,8
"
서울 동작구 상도로15길 143 창건빌딩 1층
(지번) 상도동 363-142
",3.0,32
"
서울 동작구 상도로 252
(지번) 상도2동 34-8
",4.0,1
"
서울 동작구 상도로 296-1
(지번) 상도1동 389-21
",5.0,15
"
서울 동작구 상도로34길 3 1층
(지번) 상도동 29-1
",5.0,3
"
서울 동작구 상도로37길 68-1
(지번) 상도동 477-11
",3.7,11
"
서울 동작구 만양로8길 60
(지번) 노량진동 123-14
",4.9,9
"
서울 동작구 흑석로 8
(지번) 상도1동 645-2
",3.8,2
"
서울 동작구 장승배기로 8-1 1층
(지번) 상도동 207-1
",5.0,0
"
서울 동작구 상도로 244
(지번) 상도동 32-39
",4.7,2
"
서울 동작구 상도로 219 1층
(지번) 상도동 26-11
",3.4,5
"
서울 동작구 만양로14길 9
(지번) 노량진동 119-150
",4.4,20
"
서울 동작구 상도로37길 65
(지번) 상도동 67-1
",4.3,7
"
서울 동작구 노량진로 204 1층
(지번) 노량진동 196-3
",4.5,8
"
서울 동작구 양녕로26길 56
(지번) 상도동 215-3
",3.1,19
"
서울 동작구 만양로 85
(지번) 노량진동 120-2
",3.6,40
"
서울 동작구 상도로 296-2
(지번) 상도1동 389-12
",5.0,0
"
서울 동작구 만양로18길 21 1층
(지번) 노량진동 148-55
",4.6,118
